,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
475,Desert Center Unified,1217928.21,25.15,48426.5689860835,Unified
476,Desert Sands Unified,328383803.36,24772.64,13255.906651854628,Unified
477,Hemet Unified,272916593.57,20074.85,13594.950575969435,Unified
478,Jurupa Unified,227215666.25,18355.5,12378.614924681975,Unified
480,Moreno Valley Unified,418387905.2,30564.66,13688.616369362524,Unified
482,Palm Springs Unified,299003247.04,20338.86,14701.08192101229,Unified
483,Palo Verde Unified,35111393.77,2761.97,12712.445743436752,Unified
485,Perris Union High,122746122.8,9008.25,13625.967618571864,High
486,Riverside Unified,498809655.54,38720.17,12882.424213013528,Unified
488,San Jacinto Unified,123520040.12,9605.69,12859.049180225471,Unified
489,Coachella Valley Unified,236206586.5,16838.64,14027.65226289059,Unified
490,Lake Elsinore Unified,246377365.6,20092.33,12262.259558747042,Unified
491,Temecula Valley Unified,282842860.92,26622.22,10624.31536212983,Unified
492,Murrieta Valley Unified,239474229.09,22088.73,10841.4666252881,Unified
493,Val Verde Unified,235133285.57,19342.17,12156.5101314899,Unified
495,Elk Grove Unified,733618038.49,60022.32,12222.420567715477,Unified
497,Folsom-Cordova Unified,223508669.27,19502.48,11460.525495731825,Unified
499,Galt Joint Union High,27835247.62,2071.02,13440.356742088441,High
500,River Delta Joint Unified,23790801.14,1849.39,12864.13419559963,Unified
502,Sacramento City Unified,521831152.21,38125.12,13687.331402760174,Unified
503,San Juan Unified,475626254.48,37400.58,12717.082314766241,Unified
504,Center Joint Unified,50745057.83,4013.33,12644.127901269021,Unified
505,Natomas Unified,122032772.6,9753.65,12511.498013564153,Unified
506,Twin Rivers Unified,340385281.1,24149.91,14094.681143739253,Unified
513,San Benito High,36403245.68,2908.26,12517.190925157996,High
517,Aromas - San Juan Unified,12162212.93,991.85,12262.14944800121,Unified
520,Barstow Unified,75006946.74,5858.64,12802.791559133177,Unified
521,Bear Valley Unified,27423963.79,2282.28,12016.038255604044,Unified
523,Chaffey Joint Union High,293120630.13,22608.79,12964.89684454586,High
524,Chino Valley Unified,283900834.93,26516.36,10706.629225504557,Unified
525,Colton Joint Unified,258065325.4,20829.13,12389.635352028625,Unified
528,Fontana Unified,490696592.89,34877.72,14069.05591563898,Unified
530,Morongo Unified,103824160.95,7941.35,13073.867912886348,Unified
533,Needles Unified,12449126.19,917.44,13569.417280694104,Unified
536,Redlands Unified,234187470.66,19876.22,11782.294151503655,Unified
537,Rialto Unified,324271619.14,23921.22,13555.814425016782,Unified
538,Rim of The World Unified,35790037.76,3015.46,11868.848454298846,Unified
539,San Bernardino City Unified,711904641.44,45957.02,15490.66152331026,Unified
540,Trona Joint Unified,7416804.71,264.78,28011.196880429037,Unified
542,Victor Valley Union High,136183180.21,9773.36,13934.120937937414,High
543,Yucaipa-Calimesa Joint Unified,91353178.14,7855.5,11629.199686843613,Unified
544,Baker Valley Unified,2836031.04,129.6,21882.955555555556,Unified
545,Silver Valley Unified,30307581.43,2033.86,14901.50818148742,Unified
546,Snowline Joint Unified,87666436.84,6985.67,12549.467243657373,Unified
547,Hesperia Unified,252991214.01,20624.51,12266.532102338431,Unified
548,Lucerne Valley Unified,11263609.3,695.63,16191.954487299285,Unified
549,Upland Unified,119512502.99,10195.74,11721.807636326545,Unified
550,Apple Valley Unified,157161110.73,12378.06,12696.74817620855,Unified
552,Borrego Springs Unified,6543356.21,370.68,17652.30444048775,Unified
556,Coronado Unified,39984983.8,2941.52,13593.306793766487,Unified
561,Escondido Union High,101865134.13,6895.17,14773.404300401584,High
563,Fallbrook Union High,29705169.06,2000.76,14846.942691777123,High
564,Grossmont Union High,226587296.33,15397.78,14715.582137814672,High
567,Julian Union High,2886984.77,99.77,28936.40142327353,High
571,Mountain Empire Unified,23130086.01,1613.82,14332.506729375025,Unified
573,Poway Unified,396797404.8,35164.22,11284.123600637238,Unified
574,Ramona City Unified,58217694.74,5159.79,11282.958170778269,Unified
576,San Diego Unified,1356169715.64,97649.78,13888.098013533672,Unified
577,San Dieguito Union High,146644610.66,12557.03,11678.287832393487,High
584,Sweetwater Union High,468898039.49,36824.64,12733.268797468218,High
586,Vista Unified,268375961.4,19704.19,13620.248353269028,Unified
587,Carlsbad Unified,121676852.86,10913.85,11148.847827302006,Unified
588,Oceanside Unified,213083865.34,16593.23,12841.614642839279,Unified
589,San Marcos Unified,226996969.2,20100.82,11292.920846015237,Unified
590,Warner Unified,4095062.81,180.97,22628.406973531524,Unified
591,Valley Center-Pauma Unified,45871848.3,3774.72,12152.384362283825,Unified
592,Bonsall Unified,25237742.54,2616.76,9644.6531359391,Unified
593,San Francisco Unified,817101561.65,49912.87,16370.558568361224,Unified
595,Escalon Unified,26822743.45,2570.16,10436.215430167773,Unified
597,Lincoln Unified,99275018.86,8449.34,11749.440649802233,Unified
598,Linden Unified,26302785.06,2210.93,11896.706390523444,Unified
599,Lodi Unified,335315008.07,27091.33,12377.207323154676,Unified
600,Manteca Unified,260766084.03,22301.87,11692.565871382087,Unified
