d_name,sat_num_tst_takr,sat_num_erw_over_benchmark,sat_pct_erw_over_benchmark,sat_num_math_over_benchmark,sat_pct_math_over_benchmark,sat_enroll,sat_tot_num_both_over_benchmark,sat_pct_both_over_benchmark,annual_expense_of_ed,current_expense_ada,current_expense_per_ada,lea_type,avg_tchr_sex,avg_tchr_age,avg_tchr_edu_lvl,avg_tchr_yrs_tching,avg_tchr_yrs_in_dstrct,tchrs_per_district,cumulative_enrollment,cum_enrollment_sed,socio_ec_disadv_pct,student_teacher_ratio,act_enroll,act_num_tst_takr,act_avg_scr_read,act_avg_scr_eng,act_avg_scr_math,act_avg_scr_sci,act_num_ge_21,act_pct_ge_21
Castro Valley Unified,622.0,558.0,0.8970999999999999,486.0,0.7814,1455.0,586.0,0.8371,102239937.34,8940.2,11435.978763338628,Unified,0.7620889748549323,44.499032882011605,5.183752417794971,14.448742746615087,10.520309477756287,517,9680.0,2493.0,0.2575413223140496,18.72340425531915,690.5,106.0,26.0,25.0,25.0,25.0,82.0,0.7736
Center Joint Unified,106.0,87.0,0.8285499999999999,71.0,0.67615,637.0,61.0,0.76265,50745057.83,4013.33,12644.127901269021,Unified,0.725925925925926,47.63333333333333,4.681481481481481,15.514814814814814,11.703703703703704,270,4658.0,3215.0,0.6902103907256333,17.251851851851853,334.5,14.0,,,,,,
Centinela Valley Union High,1178.0,542.0,0.45894999999999997,242.0,0.20555,3416.0,313.0,0.24085,95859688.8,5935.08,16151.372652095675,High,0.5695364238410596,41.4083885209713,5.843267108167771,12.706401766004415,9.035320088300221,453,11226.0,8775.0,0.7816675574559059,24.781456953642383,504.14285714285717,53.142857142857146,18.0,17.0,17.0,17.5,14.5,0.15425
Central Unified,758.0,448.0,0.591,196.0,0.2586,2224.0,213.0,0.2971,174390715.01,14932.98,11678.225981016514,Unified,0.6961883408071748,43.487668161434975,4.048206278026906,12.424887892376681,10.332959641255606,892,17451.0,13719.0,0.7861440605122916,19.56390134529148,700.3333333333334,24.666666666666668,22.0,21.0,20.0,22.0,20.0,0.5405
Central Union High,548.0,380.0,0.6950666666666666,232.0,0.4261,1988.0,175.0,0.5524,52303844.74,3952.8,13232.099964582068,High,0.5614035087719298,44.85526315789474,4.785087719298246,12.600877192982455,11.083333333333334,228,4520.0,3489.0,0.7719026548672566,19.82456140350877,624.6666666666666,114.66666666666667,19.333333333333332,18.333333333333332,19.666666666666668,19.666666666666668,38.666666666666664,0.35913333333333336
Ceres Unified,704.0,401.0,0.6406000000000001,184.0,0.315625,2204.0,265.0,0.3682,160295158.34,13122.3,12215.477343148686,Unified,0.7550535077288941,39.81093935790725,3.609988109393579,12.351961950059453,9.80499405469679,841,16480.0,13677.0,0.8299150485436894,19.595719381688465,402.0,13.6,19.5,17.5,18.0,19.0,6.0,0.2046
Chaffey Joint Union High,4874.0,3390.0,0.69783,2198.0,0.44932999999999995,11552.0,2675.0,0.5688333333333333,293120630.13,22608.79,12964.89684454586,High,0.5485564304461942,45.045494313210845,5.058617672790901,15.400699912510936,13.097112860892388,1143,26035.0,16576.0,0.6366813904359516,22.77777777777778,1173.7,159.2,21.22222222222222,20.333333333333332,21.11111111111111,20.88888888888889,81.55555555555556,0.4760777777777778
Charter Oak Unified,330.0,243.0,0.74315,175.0,0.53515,770.0,149.0,0.6930000000000001,55746076.09,4457.01,12507.505275958547,Unified,0.7991967871485943,48.44578313253012,6.3694779116465865,17.132530120481928,14.738955823293173,249,5022.0,2915.0,0.5804460374352848,20.16867469879518,384.0,38.0,22.0,21.0,22.0,22.0,25.0,0.6579
Chawanakee Unified,94.0,55.0,0.6294333333333334,23.0,0.26843333333333336,306.0,37.0,0.39143333333333336,9028332.83,693.51,13018.316722181367,Unified,0.7272727272727273,40.90909090909091,4.220779220779221,10.441558441558442,5.688311688311688,77,1497.0,810.0,0.5410821643286573,19.441558441558442,76.5,16.0,22.0,20.0,20.0,20.5,13.0,0.53035
Chico Unified,588.0,506.0,0.8834,422.0,0.7318499999999999,2171.0,500.0,0.86385,145844464.85,11783.23,12377.290848943796,Unified,0.7435064935064936,44.26731601731602,4.25,15.691558441558442,11.285714285714286,924,16405.0,8984.0,0.5476379152697348,17.754329004329005,379.0,45.666666666666664,24.0,23.0,24.0,23.666666666666668,63.666666666666664,0.7108666666666665
Chino Valley Unified,3576.0,2363.0,0.5576166666666666,1650.0,0.36923333333333336,4584.0,1696.0,0.33590000000000003,283900834.93,26516.36,10706.629225504557,Unified,0.7511864406779661,46.0664406779661,3.743050847457627,12.934915254237287,12.771525423728814,1475,30488.0,15202.0,0.4986224088165836,20.669830508474575,939.4,100.0,23.6,23.4,22.8,23.0,73.2,0.63746
Chowchilla Union High,172.0,96.0,0.5581,40.0,0.23260000000000003,529.0,54.0,0.4154,13012609.29,1035.13,12570.990397341395,High,0.639344262295082,41.60655737704918,4.80327868852459,10.311475409836065,7.311475409836065,61,1182.0,879.0,0.7436548223350253,19.37704918032787,269.0,18.0,21.0,20.0,20.0,21.0,9.0,0.5
Claremont Unified,526.0,468.0,0.8896999999999999,362.0,0.6881999999999999,1155.0,522.0,0.8312,76595379.22,6658.99,11502.552071710576,Unified,0.7671957671957672,44.333333333333336,5.888888888888889,16.304232804232804,12.367724867724867,378,7215.0,2675.0,0.37075537075537074,19.08730158730159,603.5,139.0,25.0,24.0,24.0,24.0,103.0,0.741
Cloverdale Unified,42.0,20.0,0.47619999999999996,8.0,0.1905,191.0,26.0,0.5652,17819173.92,1308.54,13617.599706543171,Unified,0.6808510638297872,44.287234042553195,4.553191489361702,13.159574468085106,9.936170212765957,94,1491.0,949.0,0.636485580147552,15.861702127659575,77.5,5.0,,,,,,
Clovis Unified,2415.0,2009.0,0.8348666666666666,1485.0,0.6200166666666667,6521.0,1845.0,0.7115333333333332,445849473.76,41008.48,10872.128734349577,Unified,0.7027942421676545,42.98348856900932,4.14987298899238,14.607959356477561,12.02116850127011,2362,46248.0,21897.0,0.4734691229891022,19.580016934801016,810.375,119.75,24.5,23.666666666666668,23.833333333333332,24.0,119.16666666666667,0.7240666666666666
Coachella Valley Unified,688.0,334.0,0.47746000000000005,166.0,0.23565999999999998,2627.0,196.0,0.324125,236206586.5,16838.64,14027.65226289059,Unified,0.6529100529100529,45.55343915343915,5.782010582010582,15.188359788359788,13.748148148148148,945,19479.0,18082.0,0.9282817393089995,20.612698412698414,482.2,81.6,18.25,16.5,18.25,18.0,17.75,0.2095
Coalinga-Huron Unified,118.0,76.0,0.6441,30.0,0.25420000000000004,558.0,46.0,0.3594,54650684.31,4015.7,13609.254752596062,Unified,0.6875,42.140625,3.625,11.47265625,10.79296875,256,4890.0,4348.0,0.8891615541922291,19.1015625,180.33333333333334,3.3333333333333335,,,,,,
