d_name,gender_code,age,education_level,years_teaching,years_in_district,tchrs_per_district
Bret Harte Union High,0.43478260869565216,46.630434782608695,4.717391304347826,16.76086956521739,12.5,46
Bridgeville Elementary,0.6666666666666666,57.166666666666664,3.6666666666666665,17.333333333333332,5.666666666666667,6
Briggs Elementary,0.7352941176470589,41.26470588235294,3.676470588235294,8.382352941176471,8.382352941176471,34
Brisbane Elementary,0.8205128205128205,45.8974358974359,4.641025641025641,15.461538461538462,11.871794871794872,39
Brittan Elementary,0.7391304347826086,45.47826086956522,3.4782608695652173,13.173913043478262,13.173913043478262,23
Browns Elementary,0.8,41.3,3.3,3.9,1.9,10
Buckeye Union Elementary,0.8699029126213592,44.394174757281554,4.52621359223301,12.576699029126214,7.337864077669903,515
Buellton Union Elementary,0.8269230769230769,45.36538461538461,5.596153846153846,13.942307692307692,10.326923076923077,52
Buena Park Elementary,0.8140495867768595,46.54132231404959,5.619834710743802,17.623966942148762,15.768595041322314,242
Buena Vista Elementary,0.6363636363636364,44.81818181818182,4.0,13.363636363636363,11.909090909090908,11
Burbank Unified,0.7478580171358629,45.307221542227666,4.855569155446757,15.62545899632803,12.325581395348838,817
Burlingame Elementary,0.8599033816425121,40.009661835748794,5.067632850241546,12.323671497584542,8.497584541062801,207
Burnt Ranch Elementary,1.0,48.333333333333336,3.5555555555555554,5.333333333333333,2.888888888888889,9
Burrel Union Elementary,0.75,36.083333333333336,2.4166666666666665,6.75,2.3333333333333335,12
Burton Elementary,0.75,38.974264705882355,4.323529411764706,9.183823529411764,7.125,272
Butte County Office of Education,0.745,45.345,4.27,13.52,7.855,200
Butte Valley Unified,0.6521739130434783,45.04347826086956,4.391304347826087,12.608695652173912,9.434782608695652,23
Butteville Union Elementary,0.36363636363636365,48.36363636363637,3.3636363636363638,16.272727272727273,11.454545454545455,11
Buttonwillow Union Elementary,0.8461538461538461,38.46153846153846,4.923076923076923,12.115384615384615,8.692307692307692,26
Byron Union Elementary,0.8852459016393442,45.21311475409836,4.459016393442623,15.245901639344263,9.745901639344263,122
Cabrillo Unified,0.6589595375722543,45.95375722543353,4.595375722543353,13.352601156069364,10.346820809248555,173
Cajon Valley Union,0.8561643835616438,42.193737769080236,6.407045009784736,14.470645792563602,12.068493150684931,1022
Calaveras County Office of Education,0.828125,49.46875,4.828125,14.375,6.953125,64
Calaveras Unified,0.7579617834394905,48.382165605095544,4.019108280254777,17.573248407643312,13.089171974522293,157
Calexico Unified,0.6963906581740976,45.76433121019108,5.0615711252653925,14.51380042462845,14.21231422505308,471
Caliente Union Elementary,1.0,60.0,6.0,13.0,12.0,4
California Education Authority (CEA) Headquarters,0.4140625,52.1875,4.3203125,14.9140625,9.6015625,128
California School for the Blind (State Special Sch,0.782608695652174,44.369565217391305,6.5,13.804347826086957,8.456521739130435,46
California School for the Deaf-Fremont (State Spec,0.6390977443609023,45.766917293233085,6.62406015037594,15.225563909774436,12.842105263157896,133
California School for the Deaf-Riverside (State Sp,0.6967213114754098,47.13934426229508,5.877049180327869,16.31967213114754,14.221311475409836,122
Calipatria Unified,0.7083333333333334,43.22222222222222,4.25,15.722222222222221,13.458333333333334,72
Calistoga Joint Unified,0.71875,45.296875,4.296875,13.140625,8.640625,64
Cambrian,0.8494623655913979,44.22043010752688,4.838709677419355,15.693548387096774,11.408602150537634,186
Camino Union Elementary,0.84375,48.59375,4.53125,16.4375,11.875,32
Campbell Union,0.8558139534883721,43.86046511627907,5.323255813953488,13.111627906976745,10.018604651162791,430
Campbell Union High,0.5871559633027523,43.096330275229356,5.282110091743119,10.6651376146789,8.112385321100918,436
Camptonville Elementary,0.7837837837837838,52.567567567567565,4.621621621621622,13.783783783783784,8.162162162162161,37
Canyon Elementary,0.6666666666666666,44.333333333333336,2.3333333333333335,5.666666666666667,2.3333333333333335,3
Capay Joint Union Elementary,0.75,49.25,3.25,13.25,10.416666666666666,12
Capistrano Unified,0.7545963229416467,44.741806554756195,5.572741806554756,14.6550759392486,13.249400479616307,2502
Cardiff Elementary,0.8909090909090909,46.63636363636363,4.3090909090909095,18.036363636363635,13.036363636363637,55
Carlsbad Unified,0.7671691792294807,44.778894472361806,6.981574539363484,14.02177554438861,11.954773869346734,597
Carmel Unified,0.656084656084656,47.32275132275132,5.158730158730159,18.52910052910053,11.677248677248677,189
Carpinteria Unified,0.7412587412587412,44.71328671328671,5.503496503496503,15.20979020979021,11.391608391608392,143
Caruthers Unified,0.6436781609195402,41.0919540229885,4.954022988505747,12.597701149425287,10.126436781609195,87
Cascade Union Elementary,0.8235294117647058,47.73529411764706,3.6911764705882355,13.720588235294118,12.573529411764707,68
Castaic Union,0.831858407079646,46.584070796460175,4.734513274336283,13.823008849557523,11.893805309734514,113
Castle Rock Union Elementary,0.6,44.8,4.6,4.6,4.6,5
Castro Valley Unified,0.7620889748549323,44.499032882011605,5.183752417794971,14.448742746615087,10.520309477756287,517
Cayucos Elementary,0.7619047619047619,43.38095238095238,3.5714285714285716,10.904761904761905,7.809523809523809,21
